transaction_id,customer_id,product_id,store_id,sale_date,quantity,total_amount
117,6780,122,37,2025-04-09,1,65.85
118,8563,144,21,2025-03-04,1,161.88
119,1472,168,8,2024-08-25,3,213.3
120,5940,109,7,2024-11-13,3,1134.63
121,8438,73,8,2024-06-26,3,971.58
122,212,136,2,2025-03-24,1,133.22
123,7007,156,16,2025-03-21,4,394.76
124,8197,186,7,2024-10-05,1,466.63
125,4787,156,50,2024-05-12,5,493.45
126,3673,41,37,2025-02-06,5,1365.65
127,4477,66,8,2024-05-13,3,200.13
128,8442,100,14,2024-07-22,4,714.84
129,5056,112,21,2024-06-09,3,1046.22
130,7389,98,28,2025-03-04,2,216.92
131,7749,136,38,2024-07-15,3,399.66
132,7141,123,26,2025-01-19,4,1464.72
133,9596,75,11,2024-08-17,4,989.24
134,4352,34,50,2024-05-21,2,755.2
135,8522,116,15,2024-08-08,1,169.33
136,8505,166,37,2024-06-18,1,276.8
137,4128,176,4,2025-04-25,5,1092.5
138,5336,50,17,2025-02-18,4,936.64
139,8568,98,38,2024-10-23,1,108.46
140,1722,161,22,2024-12-27,5,1747.05
141,7661,119,36,2024-07-23,3,822.24
142,7234,135,33,2025-01-27,1,55.33
143,5558,16,50,2024-08-14,5,1933.7
144,3330,28,48,2024-07-07,4,237.24
145,5015,92,41,2024-07-03,2,305.66
146,285,124,34,2024-11-05,3,1011.63
147,7842,77,49,2024-06-27,5,2397.25
148,1091,78,21,2024-08-06,5,722.95
149,6721,194,48,2024-08-23,4,1682.4
150,1251,88,50,2024-11-15,2,500.68
151,2981,95,6,2024-06-09,4,838.4
152,3292,5,4,2024-12-12,5,2209.25
153,6085,95,36,2024-11-08,2,419.2
154,4379,169,42,2024-11-19,2,193.16
155,6297,8,27,2024-08-01,1,453.23
156,5341,156,9,2025-02-09,4,394.76
157,389,93,8,2024-11-24,5,865.2
158,9931,129,20,2024-10-05,5,1313.95
159,2426,5,29,2025-03-16,2,883.7
160,971,161,20,2025-05-09,5,1747.05
161,8710,41,2,2025-02-18,1,273.13
162,1489,133,21,2024-11-21,4,523.48
163,3488,59,26,2024-05-31,2,408.22
164,8637,142,36,2025-03-08,5,647.95
165,2551,141,3,2024-06-20,3,363.24
166,4208,30,13,2024-08-15,3,323.31
167,2857,92,6,2024-06-16,1,152.83
168,1714,128,8,2024-12-28,1,439.83
169,2708,36,47,2024-09-25,3,19.41
170,5169,19,4,2024-10-06,4,161.56
171,867,106,43,2024-08-29,1,384.1
172,7829,30,22,2025-01-21,3,323.31
173,8593,14,25,2025-04-05,5,1222.15
174,2117,111,47,2024-11-17,5,206.2
175,5154,55,10,2024-07-07,3,324.48
176,7026,165,34,2024-10-01,5,2120.65
177,6387,84,24,2024-08-07,2,500.12
178,8701,17,47,2024-10-29,1,25.35
179,1231,154,39,2024-10-29,1,253.32
180,1490,21,18,2025-03-14,3,229.65
181,7408,79,47,2024-08-05,2,963.02
182,4305,158,6,2024-10-06,1,369.87
183,4246,151,3,2024-06-07,4,710.48
184,2489,19,15,2024-11-01,1,40.39
185,833,182,26,2025-01-31,1,293.24
186,3056,29,19,2024-12-11,4,1452.0
187,2912,181,32,2024-08-01,1,445.77
188,9198,162,5,2025-04-30,3,1345.74
189,8151,124,46,2025-04-03,3,1011.63
190,934,75,20,2025-03-05,3,741.93
191,4917,152,45,2024-10-11,1,5.42
192,3948,138,35,2024-07-04,4,1019.68
193,8218,101,45,2024-12-04,5,788.8
194,4129,177,20,2024-08-22,3,372.45
195,2112,139,49,2024-07-15,3,1069.83
196,5059,10,2,2024-10-25,5,926.9
197,1748,159,20,2025-04-13,4,1588.2
198,6335,84,33,2024-12-12,4,1000.24
199,6354,20,19,2025-05-03,5,1791.8
200,1479,120,6,2024-12-12,4,878.28
201,9053,15,45,2025-02-17,5,447.2
202,5396,110,50,2024-08-24,2,59.56
203,9030,60,25,2025-02-25,2,46.7
204,615,6,48,2025-01-16,2,510.22
205,401,59,2,2024-05-15,1,204.11
206,2764,7,46,2025-03-11,5,2317.95
207,9149,86,33,2024-10-27,2,363.84
208,8225,105,1,2024-08-04,5,753.45
209,5795,136,2,2024-08-30,1,133.22
210,7951,193,8,2024-07-17,2,667.42
211,2294,93,35,2024-12-29,4,692.16
212,5862,29,17,2024-05-12,4,1452.0
213,2415,149,34,2024-10-29,4,991.96
214,9795,154,50,2024-06-18,1,253.32
215,3715,27,18,2024-11-30,2,352.66
216,8273,105,11,2025-01-30,5,753.45
217,8768,192,18,2024-12-14,5,1623.5
218,8889,29,30,2024-09-23,1,363.0
219,9132,78,3,2024-09-28,4,578.36
220,5721,67,29,2025-01-17,4,1696.88
221,9048,54,43,2024-11-22,5,2476.7
222,8767,12,1,2024-10-19,1,350.41
223,9517,12,48,2024-10-29,1,350.41
224,3601,179,10,2024-10-29,4,1716.0
225,9875,169,40,2025-01-17,2,193.16
226,6357,50,23,2024-05-25,5,1170.8
227,938,58,49,2025-03-05,5,596.95
228,2916,178,9,2024-12-29,4,499.04
229,7281,131,49,2024-12-10,1,351.63
230,3854,92,15,2025-01-03,3,458.49
231,294,66,28,2024-08-19,5,333.55
232,6657,130,22,2024-11-29,4,1587.68
233,8691,21,7,2024-10-01,1,76.55
234,5492,37,39,2024-12-23,1,499.52
235,8584,6,43,2024-10-18,2,510.22
236,6640,9,32,2024-07-19,5,1677.3
237,4576,31,27,2024-12-25,3,677.55
238,8513,39,11,2024-09-15,3,1256.07
239,2731,53,38,2025-02-23,5,1096.15
240,7215,151,10,2025-03-29,4,710.48
241,5545,91,30,2024-09-18,2,177.6
242,9821,84,45,2024-08-12,2,500.12
243,6486,73,26,2024-10-26,3,971.58
244,2736,4,18,2024-08-23,5,2119.05
245,7418,118,38,2024-07-13,1,311.74
246,197,29,41,2025-01-06,2,726.0
247,4405,77,21,2024-06-02,4,1917.8
248,5054,145,30,2024-06-11,3,379.59
249,8783,60,27,2024-07-15,1,23.35
250,8405,54,43,2025-02-11,3,1486.02
251,3072,20,31,2024-07-26,2,716.72
252,3553,53,47,2024-08-31,5,1096.15
253,6820,56,30,2025-01-03,1,353.8
254,78,186,25,2024-07-30,2,933.26
255,2101,132,25,2025-01-28,1,251.63
256,2025,172,33,2024-08-17,2,365.38
257,4365,63,3,2024-07-23,2,823.0
258,7697,153,23,2025-03-14,3,742.29
259,1432,186,6,2025-04-24,3,1399.89
260,5212,17,23,2024-06-30,2,50.7
261,4097,55,20,2025-02-07,3,324.48
262,2901,110,43,2024-08-05,3,89.34
263,9487,121,29,2024-05-19,5,1371.45
264,9097,59,2,2025-04-06,2,408.22
265,8900,18,26,2025-04-13,4,659.24
266,577,191,50,2024-10-09,2,236.7
267,5537,99,27,2024-11-19,5,2324.35
268,6093,120,45,2024-07-04,5,1097.85
269,8682,188,6,2025-03-05,2,67.86
270,7727,87,29,2024-10-03,5,1544.25
271,9442,40,43,2024-07-28,5,2285.9
272,4285,25,28,2025-04-14,4,409.96
273,4180,21,28,2024-07-15,2,153.1
274,6047,142,13,2024-10-23,4,518.36
275,9169,169,24,2024-11-23,1,96.58
276,3740,7,50,2025-02-04,1,463.59
277,1454,18,38,2024-07-19,3,494.43
278,2860,197,47,2024-12-25,2,727.74
279,6765,167,24,2024-07-03,2,65.78
280,3877,59,29,2024-11-07,2,408.22
281,9331,163,30,2024-05-15,4,1288.6
282,9262,185,17,2024-09-20,4,890.6
283,3017,22,31,2024-07-16,4,1488.96
284,7031,73,11,2024-11-01,5,1619.3
285,5228,21,23,2025-04-26,5,382.75
286,8794,57,48,2024-12-17,2,200.9
287,2417,189,43,2024-08-08,2,804.32
288,5460,81,13,2024-11-05,1,279.12
289,5749,69,22,2024-10-21,5,67.05
290,4830,51,3,2025-05-11,4,950.04
291,5823,121,15,2025-01-27,2,548.58
292,6933,127,13,2024-07-20,5,584.3
293,5182,124,28,2024-12-23,5,1686.05
294,7990,102,13,2024-12-31,2,200.86
295,5834,188,22,2025-01-03,4,135.72
296,1222,140,45,2025-01-25,4,1885.6
297,3633,74,33,2025-05-03,4,1708.08
298,8029,173,39,2024-08-23,1,310.63
299,4901,117,50,2024-12-20,4,1868.52
300,4709,48,41,2024-11-01,1,51.63
301,4920,68,16,2024-07-11,1,176.93
302,8075,162,9,2024-08-02,1,448.58
303,4659,10,35,2025-04-19,1,185.38
304,1394,107,30,2024-11-13,2,949.88
305,8290,41,11,2024-12-12,3,819.39
306,9395,51,24,2024-07-17,4,950.04
307,8080,175,33,2025-04-08,1,496.34
308,1538,153,35,2024-07-14,2,494.86
309,4562,159,17,2024-08-27,5,1985.25
310,5585,141,29,2025-02-20,4,484.32
311,3417,1,21,2025-04-25,2,702.06
312,7955,169,23,2024-08-18,1,96.58
313,9700,155,43,2024-10-15,1,111.78
314,9446,146,4,2025-04-01,2,215.42
315,2955,179,9,2025-04-14,5,2145.0
316,726,156,22,2024-07-24,1,98.69
317,3834,58,42,2024-05-22,2,238.78
318,9076,97,26,2024-12-08,5,101.25
319,9069,193,45,2025-03-23,4,1334.84
320,949,78,9,2024-09-02,3,433.77
321,1925,134,1,2024-06-22,5,223.6
322,8398,173,46,2024-07-26,2,621.26
323,30,134,36,2024-07-24,5,223.6
324,7880,174,43,2025-03-14,5,2440.3
325,2969,109,13,2025-03-29,1,378.21
326,2848,133,18,2025-03-16,4,523.48
327,6348,98,29,2025-02-10,2,216.92
328,8732,31,37,2024-11-25,5,1129.25
329,4171,53,44,2024-05-28,3,657.69
330,8205,12,16,2024-06-23,3,1051.23
331,3549,104,12,2024-09-29,2,514.22
332,3749,24,4,2024-08-17,2,938.7
333,9371,82,18,2024-10-11,2,656.18
334,3078,4,3,2024-12-25,4,1695.24
335,1050,42,14,2024-08-26,1,157.85
336,1534,125,37,2024-08-01,3,1302.03
337,4595,21,14,2024-09-19,1,76.55
338,246,191,43,2024-10-30,3,355.05
339,8571,33,22,2024-08-21,5,632.9
340,6171,144,47,2025-03-03,3,485.64
341,3485,23,16,2024-09-09,5,973.55
342,553,3,4,2024-07-22,3,1100.94
343,3467,173,35,2025-01-30,3,931.89
344,9901,73,39,2024-08-11,2,647.72
345,4216,110,33,2025-01-11,5,148.9
346,9513,33,22,2024-10-08,5,632.9
347,4448,181,45,2025-02-14,5,2228.85
348,7426,57,14,2024-08-13,4,401.8
349,1397,89,40,2024-06-16,3,672.03
350,1756,169,9,2025-02-24,5,482.9
351,9274,154,39,2025-01-04,1,253.32
352,6959,190,36,2024-07-15,4,587.68
353,279,176,17,2025-02-03,2,437.0
354,5263,173,46,2024-10-23,4,1242.52
355,1256,95,45,2024-09-29,5,1048.0
356,6419,85,13,2024-08-06,5,1452.65
357,6179,23,38,2025-01-14,3,584.13
358,4442,139,19,2024-09-12,5,1783.05
359,694,52,42,2024-07-20,5,2069.4
360,3112,151,11,2024-11-13,2,355.24
361,8420,129,42,2025-01-14,3,788.37
362,9605,199,29,2024-08-24,5,1272.25
363,2921,145,30,2025-04-24,3,379.59
364,7677,102,21,2024-12-27,5,502.15
365,8081,69,45,2025-04-20,2,26.82
366,9293,105,37,2024-09-06,1,150.69
367,8251,39,37,2024-05-18,4,1674.76
368,3155,176,8,2024-07-15,2,437.0
369,2931,90,46,2024-10-23,2,848.54
370,2404,85,1,2025-02-14,1,290.53
371,8510,9,28,2024-09-12,2,670.92
372,1882,17,8,2025-04-17,2,50.7
373,9927,39,29,2024-12-26,5,2093.45
374,5564,127,32,2025-02-15,1,116.86
375,6084,104,44,2024-05-16,3,771.33
376,7611,136,43,2024-06-26,5,666.1
377,2213,125,19,2025-02-26,4,1736.04
378,413,94,50,2024-06-28,2,235.08
379,3072,138,4,2024-09-04,4,1019.68
380,8789,81,19,2025-05-03,1,279.12
381,5074,65,49,2024-10-23,1,190.37
382,3824,119,7,2024-05-12,3,822.24
383,8634,140,44,2024-09-12,2,942.8
384,2320,37,19,2024-07-29,2,999.04
385,9215,154,23,2025-05-09,5,1266.6
386,528,7,33,2025-04-26,2,927.18
387,7310,159,14,2024-11-01,1,397.05
388,9370,168,6,2024-09-21,5,355.5
389,2443,55,10,2024-12-01,1,108.16
390,277,95,3,2024-07-11,2,419.2
391,3954,116,6,2024-05-29,3,507.99
392,280,183,30,2024-08-22,1,218.88
393,5828,50,17,2025-02-03,3,702.48
394,6817,38,24,2024-12-06,3,193.5
395,8120,137,44,2025-04-01,2,982.68
396,5505,128,25,2025-01-20,1,439.83
397,8560,64,5,2025-01-25,2,620.9
398,3894,74,3,2025-03-31,3,1281.06
399,1070,189,28,2025-05-10,3,1206.48
400,7560,42,28,2024-07-05,3,473.55
401,1512,54,34,2024-12-09,4,1981.36
402,6170,86,47,2024-12-15,4,727.68
403,6877,112,43,2024-07-19,1,348.74
404,1062,35,4,2024-07-11,3,1140.93
405,3607,153,14,2025-03-10,3,742.29
406,800,178,11,2024-07-21,3,374.28
407,8665,65,1,2024-05-24,5,951.85
408,931,42,7,2025-03-18,3,473.55
409,6566,193,50,2024-10-15,4,1334.84
410,306,1,8,2024-12-25,5,1755.15
411,2000,42,18,2025-04-08,1,157.85
412,3186,100,36,2024-10-06,4,714.84
413,5669,141,36,2024-07-24,3,363.24
414,801,23,10,2025-04-16,4,778.84
415,9705,27,50,2025-03-08,1,176.33
416,5538,32,9,2024-06-10,3,1498.92
417,6455,80,26,2025-01-01,1,495.81
418,8623,75,26,2025-01-14,3,741.93
419,6834,24,36,2024-08-25,1,469.35
420,5630,176,37,2024-09-11,4,874.0
421,431,128,45,2024-11-30,5,2199.15
422,9829,15,19,2025-02-28,3,268.32
423,6488,100,8,2025-04-04,5,893.55
424,1430,13,30,2024-11-22,4,1425.56
425,8248,23,49,2024-11-20,1,194.71
426,3732,163,43,2024-07-22,4,1288.6
427,6003,23,39,2025-01-25,2,389.42
428,7764,172,36,2024-08-24,5,913.45
429,3288,161,38,2024-06-18,4,1397.64
430,9579,37,41,2024-11-22,3,1498.56
431,9328,76,49,2024-08-06,3,729.09
432,8108,62,39,2025-02-28,4,1170.08
433,4174,70,31,2024-11-03,1,321.14
434,5091,12,40,2025-03-12,1,350.41
435,3400,185,37,2025-03-20,5,1113.25
436,4329,32,20,2025-02-26,5,2498.2
437,1116,150,1,2025-04-13,5,120.2
438,9445,57,15,2024-11-28,2,200.9
439,4519,159,27,2025-05-01,5,1985.25
440,6369,199,4,2025-02-24,1,254.45
441,9651,85,25,2025-04-21,4,1162.12
442,1873,101,50,2024-12-27,3,473.28
443,3797,11,28,2024-11-21,1,8.85
444,2341,128,21,2024-10-26,3,1319.49
445,3345,24,46,2024-07-25,5,2346.75
446,3476,11,20,2024-11-24,2,17.7
447,9759,147,45,2024-05-23,5,2309.95
448,9718,77,26,2025-01-05,5,2397.25
449,3675,138,26,2024-10-31,1,254.92
450,4431,105,15,2025-04-06,5,753.45
451,7478,54,14,2025-02-15,5,2476.7
452,7868,161,1,2025-02-10,1,349.41
453,7288,154,19,2025-01-27,3,759.96
454,8570,34,36,2024-12-13,3,1132.8
455,7948,46,5,2024-07-06,2,169.4
456,2645,178,20,2024-08-25,2,249.52
457,4770,187,2,2024-06-28,3,121.02
458,5241,196,48,2025-03-16,5,892.1
459,1250,196,41,2024-10-24,5,892.1
460,7265,106,40,2024-06-29,3,1152.3
461,8650,113,14,2024-10-16,1,239.12
462,5800,88,37,2025-03-11,3,751.02
463,108,124,47,2024-08-22,2,674.42
464,3577,88,39,2025-05-02,4,1001.36
465,5130,75,42,2024-06-22,3,741.93
466,3859,170,26,2024-06-14,5,314.55
467,2911,159,31,2024-12-28,1,397.05
468,4960,171,4,2024-08-05,1,481.72
469,2191,177,18,2024-09-21,5,620.75
470,9026,14,43,2025-02-16,3,733.29
471,7975,47,43,2024-09-06,2,982.7
472,465,38,12,2025-02-05,5,322.5
473,6463,63,23,2024-05-18,3,1234.5
474,6604,136,17,2024-09-24,3,399.66
475,1909,14,4,2025-05-10,4,977.72
476,1894,78,11,2024-11-19,5,722.95
477,2485,130,26,2024-10-30,4,1587.68
478,7605,114,38,2024-08-11,4,1835.92
479,9089,105,8,2024-09-22,2,301.38
480,2467,167,47,2024-11-09,4,131.56
481,9723,22,18,2024-11-26,1,372.24
482,9607,164,48,2025-02-04,5,2361.1
483,9147,27,17,2024-07-31,5,881.65
484,903,22,21,2024-07-15,4,1488.96
485,3383,8,48,2024-09-22,3,1359.69
486,2709,76,12,2025-05-12,4,972.12
487,8827,140,36,2024-07-21,2,942.8
488,3885,173,36,2025-04-01,2,621.26
489,726,8,25,2024-07-17,2,906.46
490,7832,88,7,2024-06-03,4,1001.36
491,845,11,35,2025-05-10,3,26.55
492,2879,179,9,2024-08-30,5,2145.0
493,856,20,45,2024-10-26,4,1433.44
494,3968,181,10,2025-03-09,3,1337.31
495,7559,105,46,2024-06-18,4,602.76
496,2871,74,32,2024-05-22,5,2135.1
497,4349,30,50,2024-11-22,1,107.77
498,5427,105,5,2025-04-01,3,452.07
499,3132,14,28,2024-12-20,2,488.86
500,5570,45,31,2024-07-19,4,1073.64
501,9369,64,34,2025-05-02,2,620.9
502,6464,145,39,2025-01-18,2,253.06
503,7262,30,23,2025-05-07,3,323.31
504,262,8,41,2024-12-14,5,2266.15
505,6639,36,45,2024-09-01,5,32.35
506,6811,35,17,2025-01-13,5,1901.55
507,5189,8,21,2025-02-09,2,906.46
508,3788,139,17,2024-11-05,5,1783.05
509,8335,123,40,2024-10-27,5,1830.9
510,5705,112,13,2024-10-18,3,1046.22
511,9128,77,47,2025-02-26,3,1438.35
512,294,159,41,2024-07-17,4,1588.2
513,1914,77,39,2025-04-15,1,479.45
514,1969,166,4,2025-03-24,2,553.6
515,5832,107,10,2024-11-18,1,474.94
516,5318,149,40,2024-05-15,4,991.96
517,1725,22,45,2024-08-16,3,1116.72
518,1273,121,1,2024-09-04,2,548.58
519,4149,58,12,2025-03-26,4,477.56
520,7280,23,25,2024-08-28,1,194.71
521,3568,27,47,2024-08-09,5,881.65
522,3718,47,24,2025-01-01,1,491.35
523,6292,131,19,2024-12-11,4,1406.52
524,184,22,12,2024-06-15,2,744.48
525,9255,63,21,2024-12-21,5,2057.5
526,6169,171,45,2024-08-23,2,963.44
527,4757,133,8,2024-06-11,3,392.61
528,3655,129,34,2024-05-19,5,1313.95
529,4246,168,34,2024-07-26,1,71.1
530,1034,108,29,2025-04-17,5,1249.3
531,594,100,46,2024-11-05,2,357.42
532,4014,60,26,2025-01-07,1,23.35
533,8272,150,35,2024-08-22,1,24.04
534,5129,43,28,2024-11-18,2,597.44
535,4188,14,46,2025-05-10,5,1222.15
536,7469,75,18,2024-10-16,4,989.24
537,2013,30,40,2024-10-05,5,538.85
538,8760,42,26,2024-08-06,1,157.85
539,2164,73,36,2025-02-06,2,647.72
540,4178,43,17,2025-03-07,1,298.72
541,1027,116,1,2025-04-16,3,507.99
542,9168,51,16,2024-11-05,2,475.02
543,2445,129,7,2025-03-18,1,262.79
544,4772,79,40,2025-04-21,4,1926.04
545,693,88,50,2024-08-26,2,500.68
546,7266,20,49,2025-05-09,5,1791.8
547,1703,39,29,2024-08-01,5,2093.45
548,8666,105,27,2025-04-14,4,602.76
549,2924,49,48,2024-12-22,3,475.95
550,9193,23,16,2024-05-26,3,584.13
551,1918,155,47,2024-06-12,5,558.9
552,2867,28,2,2025-03-29,2,118.62
553,5778,84,40,2024-12-20,2,500.12
554,2867,134,11,2025-04-30,3,134.16
555,7931,197,20,2025-04-18,4,1455.48
556,212,179,49,2024-08-13,5,2145.0
557,4483,163,28,2024-05-16,2,644.3
558,2665,153,28,2024-07-30,3,742.29
559,796,116,17,2024-09-13,2,338.66
560,4916,113,49,2024-07-05,5,1195.6
561,531,131,22,2024-09-24,4,1406.52
562,1363,171,16,2024-05-21,4,1926.88
563,4185,78,10,2024-12-03,1,144.59
564,3590,200,2,2025-02-04,4,906.4
565,1005,109,7,2025-01-31,3,1134.63
566,3680,172,1,2025-03-07,4,730.76
567,410,102,15,2025-04-26,4,401.72
568,9922,13,17,2025-01-19,5,1781.95
569,8547,132,24,2025-02-03,1,251.63
570,5908,71,24,2025-01-28,5,1693.45
571,4738,157,41,2024-09-29,3,376.14
572,7688,183,37,2024-12-19,1,218.88
573,5190,140,48,2025-03-31,3,1414.2
574,5137,176,18,2024-11-21,4,874.0
575,6549,43,45,2025-04-25,3,896.16
576,6615,154,2,2024-09-18,5,1266.6
577,36,153,13,2024-07-20,3,742.29
578,2965,92,29,2024-07-06,3,458.49
579,1215,7,44,2024-12-29,1,463.59
580,2535,121,48,2024-08-28,1,274.29
581,2517,75,40,2024-10-26,1,247.31
582,7141,141,22,2025-05-11,1,121.08
583,1845,71,3,2024-08-19,3,1016.07
584,1745,98,15,2024-06-25,3,325.38
585,5288,71,7,2024-11-07,3,1016.07
586,5638,19,16,2024-10-11,3,121.17
587,6631,188,45,2024-07-07,2,67.86
588,770,148,28,2024-07-21,1,277.99
589,7170,77,30,2024-12-03,3,1438.35
590,5825,184,2,2024-10-03,5,1800.4
591,880,98,28,2025-01-23,4,433.84
592,8675,144,28,2024-06-22,2,323.76
593,7006,11,14,2025-04-19,2,17.7
594,9639,64,38,2024-07-23,1,310.45
595,9221,104,13,2024-07-26,5,1285.55
596,1685,83,18,2024-11-28,2,459.08
597,5326,116,26,2024-06-23,5,846.65
598,1401,14,3,2024-10-14,2,488.86
599,5172,67,31,2024-06-29,2,848.44
600,9290,57,50,2025-02-12,2,200.9
601,9658,25,49,2024-12-31,1,102.49
602,7516,174,29,2024-09-12,4,1952.24
603,8162,84,17,2024-12-01,5,1250.3
604,328,104,15,2025-05-07,4,1028.44
605,5406,180,3,2025-02-23,5,1429.9
606,7419,94,6,2025-03-17,3,352.62
607,8274,94,11,2025-05-08,5,587.7
608,256,157,3,2024-08-24,1,125.38
609,5563,153,37,2025-05-07,3,742.29
610,6417,75,27,2024-08-28,4,989.24
611,7445,121,24,2025-03-15,1,274.29
612,2262,170,12,2024-11-12,3,188.73
613,7238,153,33,2025-03-28,2,494.86
614,1782,82,44,2024-11-20,5,1640.45
615,6760,113,17,2024-06-04,4,956.48
616,1430,138,39,2025-04-01,4,1019.68
617,7831,115,40,2024-10-15,5,2414.6
618,849,51,19,2024-12-08,5,1187.55
619,5683,121,18,2025-02-25,5,1371.45
620,1632,180,12,2024-07-16,2,571.96
621,2415,67,1,2024-11-14,2,848.44
622,3253,174,12,2024-07-30,4,1952.24
623,4593,141,22,2024-05-29,3,363.24
624,9669,92,20,2024-11-04,1,152.83
625,4509,76,31,2025-01-08,3,729.09
626,5185,176,15,2025-02-13,1,218.5
627,6387,53,13,2025-01-11,2,438.46
